GEOID,under50,under50_dis,under50_non,btwn50_99,btwn50_99_dis,btwn50_99_non,btwn100_150,btwn100_150_dis,btwn100_150_non
29091,4093,1032,3061,4933,1456,3477,5298,1384,3914
29035,278,93,185,622,373,249,941,284,657
29057,592,166,426,1099,210,889,917,217,700
29115,598,153,445,1401,250,1151,1236,229,1007
29101,3293,463,2830,4630,1103,3527,4072,681,3391
29105,2190,501,1689,4008,1296,2712,5303,1343,3960
29125,889,184,705,784,200,584,831,281,550
29161,4355,858,3497,4187,1109,3078,4426,890,3536
29165,2666,502,2164,4270,616,3654,4554,770,3784
29187,3546,1191,2355,5593,2192,3401,7096,2036,5060
29510,37331,6294,31037,39141,10403,28738,36558,8490,28068
29003,778,173,605,755,234,521,1783,368,1415
29023,3392,1033,2359,5633,2234,3399,6218,2049,4169
29033,639,138,501,976,256,720,1011,270,741
29061,309,82,227,757,179,578,1126,217,909
29087,196,30,166,331,79,252,619,167,452
29103,211,49,162,576,139,437,368,105,263
29181,953,370,583,2234,991,1243,2127,837,1290
29127,2311,494,1817,2702,627,2075,3086,654,2432
29139,909,230,679,895,288,607,1769,307,1462
29151,456,114,342,456,136,320,1259,237,1022
29207,1772,547,1225,3086,1178,1908,3225,850,2375
29219,2481,507,1974,1775,469,1306,2729,539,2190
29221,1640,442,1198,3109,1216,1893,3282,1146,2136
29007,1989,286,1703,1964,449,1515,2503,486,2017
29043,3626,781,2845,4962,1220,3742,8413,1504,6909
29063,236,46,190,899,148,751,1125,257,868
29077,22718,3745,18973,28047,7024,21023,29789,5846,23943
29081,583,122,461,944,284,660,1230,245,985
29107,1880,255,1625,2201,631,1570,2865,635,2230
29185,731,138,593,1286,383,903,1105,387,718
29001,3439,234,3205,2504,446,2058,2171,608,1563
29197,327,42,285,476,121,355,574,96,478
29199,280,63,217,512,89,423,749,82,667
29211,297,62,235,692,103,589,799,219,580
29029,2606,572,2034,5147,1070,4077,4064,896,3168
29045,346,94,252,677,144,533,821,125,696
29097,7612,1382,6230,12471,2547,9924,12939,2883,10056
29099,10475,1831,8644,13602,3175,10427,16563,3005,13558
29111,639,103,536,779,195,584,1035,317,718
29119,1759,254,1505,2510,590,1920,4108,712,3396
29143,1820,519,1301,2420,748,1672,2705,663,2042
29157,619,199,420,911,327,584,2593,530,2063
29167,1788,441,1347,2521,795,1726,4743,1094,3649
29173,616,23,593,726,147,579,898,200,698
29177,1173,214,959,2354,475,1879,1418,327,1091
29209,1385,213,1172,2614,695,1919,4179,1162,3017
29179,260,98,162,807,334,473,852,284,568
29189,41832,6994,34838,54097,10881,43216,65007,12834,52173
29201,3806,859,2947,3840,1288,2552,4434,1191,3243
29009,2827,800,2027,4314,1162,3152,4319,917,3402
29011,728,150,578,1732,539,1193,1160,227,933
29019,17068,1884,15184,13895,2746,11149,13399,2547,10852
29039,1398,369,1029,1681,499,1182,2027,664,1363
29051,4904,825,4079,4123,962,3161,6346,1198,5148
29055,1605,272,1333,3198,1202,1996,3920,915,3005
29073,482,120,362,1244,488,756,1267,348,919
29093,745,160,585,1338,539,799,1093,421,672
29117,1263,278,985,1206,296,910,1243,261,982
29121,690,271,419,1873,448,1425,1671,405,1266
29135,509,106,403,1221,226,995,1145,278,867
29149,1465,587,878,1197,523,674,1226,365,861
29155,1719,495,1224,3140,1167,1973,2568,882,1686
29159,2737,575,2162,4388,1051,3337,5603,1203,4400
29186,912,145,767,2022,556,1466,1410,386,1024
29203,1075,234,841,1408,488,920,983,329,654
29175,1079,255,824,2679,768,1911,2702,520,2182
29067,780,131,649,1938,661,1277,2311,540,1771
29069,3059,549,2510,4966,1549,3417,4758,1395,3363
29071,4617,785,3832,6123,1539,4584,8575,1838,6737
29083,1648,439,1209,2876,805,2071,2084,596,1488
29089,528,169,359,1023,283,740,1202,285,917
29095,49613,7741,41872,58401,12994,45407,64440,13130,51310
29109,2204,400,1804,4183,1167,3016,5067,1198,3869
29131,1442,395,1047,2619,668,1951,2887,579,2308
29169,2313,324,1989,3105,792,2313,4188,1038,3150
29171,322,124,198,486,124,362,806,208,598
29213,3672,762,2910,5324,1368,3956,7359,1468,5891
29215,2604,561,2043,3498,1194,2304,3152,787,2365
29021,6445,1005,5440,8253,2117,6136,7821,1876,5945
29025,592,112,480,568,122,446,1256,241,1015
29027,2700,306,2394,2312,682,1630,2678,739,1939
29037,3549,686,2863,5943,1596,4347,6895,1528,5367
29049,1270,155,1115,920,143,777,1649,408,1241
29053,644,254,390,1143,311,832,1853,371,1482
29059,931,333,598,1622,602,1020,2478,1004,1474
29075,363,43,320,817,202,615,565,132,433
29085,510,122,388,1633,557,1076,1128,271,857
29113,3697,767,2930,3425,1375,2050,4802,934,3868
29133,1488,124,1364,2353,655,1698,1820,517,1303
29137,384,81,303,725,197,528,943,287,656
29145,2684,491,2193,4705,1083,3622,7027,1109,5918
29153,875,186,689,1674,409,1265,1251,335,916
29163,1043,243,800,1401,284,1117,2075,295,1780
29183,10744,2151,8593,10618,2023,8595,15356,2646,12710
29129,305,28,277,329,82,247,453,52,401
29123,660,288,372,1581,442,1139,1802,554,1248
29229,1574,338,1236,2919,713,2206,3476,616,2860
29047,8208,1098,7110,12485,2470,10015,15299,2863,12436
29217,1220,350,870,1798,446,1352,2953,622,2331
29065,1528,382,1146,1650,691,959,2168,628,1540
29195,1196,223,973,2563,580,1983,2983,852,2131
29147,2058,255,1803,2362,437,1925,2056,384,1672
29227,107,5,102,192,63,129,248,35,213
